수집시간,매물유형,매물ID,거래유형,단지명,시도,구군,읍면동,보증금(만원),월세(만원),매매가(만원),면적(m2),평,층,방향,URL
2026-06-04 06:52:11,아파트,46643531,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,75560,0,75560,112.92,34.16,1,,https://www.zigbang.com/home/apt/items/46643531
2026-06-04 06:52:11,아파트,192844,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,60880,0,60880,84.89,25.68,26,,https://www.zigbang.com/home/apt/items/192844
2026-06-04 06:52:11,아파트,46700644,매매,이지더원1차오션포레,,기장군,부산광역시 기장군 기장읍,37000,0,37000,59.62,18.04,10,,https://www.zigbang.com/home/apt/items/46700644
2026-06-04 06:52:11,아파트,46580237,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,55000,0,55000,84.94,25.69,중,,https://www.zigbang.com/home/apt/items/46580237
2026-06-04 06:52:11,아파트,46580230,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,60000,0,60000,84.94,25.69,중,,https://www.zigbang.com/home/apt/items/46580230
2026-06-04 06:52:11,아파트,47816923,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,46000,0,46000,75.95,22.97,저,,https://www.zigbang.com/home/apt/items/47816923
2026-06-04 06:52:11,아파트,46580186,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,52000,0,52000,84.94,25.69,고,,https://www.zigbang.com/home/apt/items/46580186
2026-06-04 06:52:11,아파트,46580157,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,55000,0,55000,84.94,25.69,고,,https://www.zigbang.com/home/apt/items/46580157
2026-06-04 06:52:11,아파트,46580139,매매,일광한신더휴센트럴포레1단지,,기장군,부산광역시 기장군 기장읍,37000,0,37000,59.82,18.09,고,,https://www.zigbang.com/home/apt/items/46580139
2026-06-04 06:52:11,아파트,46580130,매매,일광한신더휴센트럴포레1단지,,기장군,부산광역시 기장군 기장읍,40000,0,40000,59.82,18.09,고,,https://www.zigbang.com/home/apt/items/46580130
2026-06-04 06:52:11,아파트,46579612,매매,일광신도시대성베르힐,,기장군,부산광역시 기장군 기장읍,50000,0,50000,84.55,25.58,중,,https://www.zigbang.com/home/apt/items/46579612
2026-06-04 06:52:11,아파트,46540509,매매,e편한세상일광,,기장군,부산광역시 기장군 기장읍,53000,0,53000,84.99,25.71,고,,https://www.zigbang.com/home/apt/items/46540509
2026-06-04 06:52:11,아파트,46520037,매매,일광자이푸르지오1단지,,기장군,부산광역시 기장군 기장읍,53000,0,53000,84.98,25.71,고,,https://www.zigbang.com/home/apt/items/46520037
2026-06-04 06:52:11,아파트,46519983,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,53000,0,53000,84.91,25.68,중,,https://www.zigbang.com/home/apt/items/46519983
2026-06-04 06:52:11,아파트,48172513,매매,일광자이푸르지오1단지,,기장군,부산광역시 기장군 기장읍,53000,0,53000,84.98,25.71,중,,https://www.zigbang.com/home/apt/items/48172513
2026-06-04 06:52:11,아파트,46389104,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,58370,0,58370,84.89,25.68,4,,https://www.zigbang.com/home/apt/items/46389104
2026-06-04 06:52:11,아파트,46389003,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,60540,0,60540,84.89,25.68,중,,https://www.zigbang.com/home/apt/items/46389003
2026-06-04 06:52:11,아파트,46222469,매매,일광신도시대성베르힐,,기장군,부산광역시 기장군 기장읍,45000,0,45000,84.39,25.53,고,,https://www.zigbang.com/home/apt/items/46222469
